module	resolved_version	configurations
androidx.arch.core:core-runtime	2.1.0	main:baselineprofile:benchmarkReleaseRuntimeClasspath;main:baselineprofile:nonMinifiedReleaseRuntimeClasspath
androidx.arch.core:core-runtime	2.2.0	main:app-android:benchmarkReleaseCompileClasspath;main:app-android:benchmarkReleaseRuntimeClasspath;main:app-android:debugAndroidTestCompileClasspath;main:app-android:debugAndroidTestRuntimeClasspath;main:app-android:debugCompileClasspath;main:app-android:debugRuntimeClasspath;main:app-android:debugUnitTestCompileClasspath;main:app-android:debugUnitTestRuntimeClasspath;main:app-android:nonMinifiedReleaseCompileClasspath;main:app-android:nonMinifiedReleaseRuntimeClasspath;main:app-android:releaseCompileClasspath;main:app-android:releaseRuntimeClasspath;main:app-wear:debugAndroidTestCompileClasspath;main:app-wear:debugCompileClasspath;main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestCompileClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseCompileClasspath;main:app-wear:releaseRuntimeClasspath;main:shared:androidCompileClasspath;main:shared:androidHostTestCompileClasspath;main:shared:androidHostTestRuntimeClasspath;main:shared:androidRuntimeClasspath
androidx.autofill:autofill	1.0.0	main:app-android:benchmarkReleaseRuntimeClasspath;main:app-android:debugAndroidTestRuntimeClasspath;main:app-android:debugRuntimeClasspath;main:app-android:debugUnitTestRuntimeClasspath;main:app-android:nonMinifiedReleaseRuntimeClasspath;main:app-android:releaseRuntimeClasspath;main:app-wear:debugRuntimeClasspath;main:app-wear:debugUnitTestRuntimeClasspath;main:app-wear:releaseRuntimeClasspath;main:shared:androidHostTestRuntimeClasspath;main:shared:androidRuntimeClasspath
androidx.benchmark:benchmark-common	1.4.1	main:baselineprofile:benchmarkReleaseCompileClasspath;main:baselineprofile:benchmarkReleaseRuntimeClasspath;main:baselineprofile:nonMinifiedReleaseCompileClasspath;main:baselineprofile:nonMinifiedReleaseRuntimeClasspath
androidx.benchmark:benchmark-macro	1.4.1	main:baselineprofile:benchmarkReleaseCompileClasspath;main:baselineprofile:benchmarkReleaseRuntimeClasspath;main:baselineprofile:nonMinifiedReleaseCompileClasspath;main:baselineprofile:nonMinifiedReleaseRuntimeClasspath
androidx.benchmark:benchmark-macro-junit4	1.4.1	main:baselineprofile:benchmarkReleaseCompileClasspath;main:baselineprofile:benchmarkReleaseRuntimeClasspath;main:baselineprofile:nonMinifiedReleaseCompileClasspath;main:baselineprofile:nonMinifiedReleaseRuntimeClasspath
androidx.benchmark:benchmark-traceprocessor	1.4.1	main:baselineprofile:benchmarkReleaseCompileClasspath;main:baselineprofile:benchmarkReleaseRuntimeClasspath;main:baselineprofile:nonMinifiedReleaseCompileClasspath;main:baselineprofile:nonMinifiedReleaseRuntimeClasspath
androidx.benchmark:benchmark-traceprocessor-android	1.4.1	main:baselineprofile:benchmarkReleaseCompileClasspath;main:baselineprofile:benchmarkReleaseRuntimeClasspath;main:baselineprofile:nonMinifiedReleaseCompileClasspath;main:baselineprofile:nonMinifiedReleaseRuntimeClasspath
androidx.cardview:cardview	1.0.0	main:app-android:benchmarkReleaseCompileClasspath;main:app-android:benchmarkReleaseRuntimeClasspath;main:app-android:debugAndroidTestCompileClasspath;main:app-android:debugCompileClasspath;main:app-android:debugRuntimeClasspath;main:app-android:debugUnitTestCompileClasspath;main:app-android:debugUnitTestRuntimeClasspath;main:app-android:nonMinifiedReleaseCompileClasspath;main:app-android:nonMinifiedReleaseRuntimeClasspath;main:app-android:releaseCompileClasspath;main:app-android:releaseRuntimeClasspath
androidx.collection:collection	1.0.0	main:baselineprofile:benchmarkReleaseRuntimeClasspath;main:baselineprofile:nonMinifiedReleaseRuntimeClasspath
